"Benchmark","Algorithm","Run","Seed","Objective","Fitness","Violation","Feasible","Success","NFE","Generations","Time"
"G01","PSO",1,1,-6,-6,0,TRUE,1,1e+05,999,3.01672887802124
"G01","PSO",2,2,-6,-6,0,TRUE,1,1e+05,999,3.03356003761292
"G01","PSO",3,3,-11,-11,0,TRUE,1,1e+05,999,2.98522090911865
"G01","PSO",4,4,-6,-6,0,TRUE,1,1e+05,999,2.95038294792175
"G01","PSO",5,5,-8,-8,0,TRUE,1,1e+05,999,3.02516913414001
"G01","PSO",6,6,-8,-8,0,TRUE,1,1e+05,999,2.91134405136108
"G01","PSO",7,7,-9,-9,0,TRUE,1,1e+05,999,3.00729990005493
"G01","PSO",8,8,-9,-9,0,TRUE,1,1e+05,999,2.96485805511475
"G01","PSO",9,9,-9,-9,0,TRUE,1,1e+05,999,2.99435186386108
"G01","PSO",10,10,-10,-10,0,TRUE,1,1e+05,999,3.03710889816284
"G01","PSO",11,11,-8,-8,0,TRUE,1,1e+05,999,2.92180991172791
"G01","PSO",12,12,-9,-9,0,TRUE,1,1e+05,999,3.02112698554993
"G01","PSO",13,13,-9,-9,0,TRUE,1,1e+05,999,2.91398692131042
"G01","PSO",14,14,-8,-8,0,TRUE,1,1e+05,999,3.0656840801239
"G01","PSO",15,15,-6,-6,0,TRUE,1,1e+05,999,2.88279795646667
"G01","PSO",16,16,-5,-5,0,TRUE,1,1e+05,999,2.97830414772034
"G01","PSO",17,17,-5,-5,0,TRUE,1,1e+05,999,2.94685578346252
"G01","PSO",18,18,-9,-9,0,TRUE,1,1e+05,999,2.9266037940979
"G01","PSO",19,19,-4,-4,0,TRUE,1,1e+05,999,3.02485013008118
"G01","PSO",20,20,-5,-5,0,TRUE,1,1e+05,999,2.89338493347168
"G01","PSO",21,21,-8,-8,0,TRUE,1,1e+05,999,3.03479194641113
"G01","PSO",22,22,-5,-5,0,TRUE,1,1e+05,999,2.95213413238525
"G01","PSO",23,23,-5,-5,0,TRUE,1,1e+05,999,2.9933340549469
"G01","PSO",24,24,-8,-8,0,TRUE,1,1e+05,999,3.22139692306519
"G01","PSO",25,25,-8,-8,0,TRUE,1,1e+05,999,2.96356201171875
"G01","PSO",26,26,-9,-9,0,TRUE,1,1e+05,999,3.32819485664368
"G01","PSO",27,27,-9,-9,0,TRUE,1,1e+05,999,2.92239904403687
"G01","PSO",28,28,-9,-9,0,TRUE,1,1e+05,999,2.99843311309814
"G01","PSO",29,29,-6,-6,0,TRUE,1,1e+05,999,3.19112610816956
"G01","PSO",30,30,-8,-8,0,TRUE,1,1e+05,999,3.01283288002014
"G01","PSO",31,31,-4,-4,0,TRUE,1,1e+05,999,2.92836689949036
